"phat" "lci" "hci"
"1" 0.256256256256256 0.229170578827312 0.2833419336852
"2" 0.386386386386386 0.356176492341062 0.41659628043171
"3" 0.486486486486486 0.455476460535957 0.517496512437016
"4" 0.582582582582583 0.551987274389307 0.613177890775858
"5" 0.681681681681682 0.652780711065624 0.710582652297739
"6" 0.7997997997998 0.774973402568614 0.824626197030985
"7" 0.818818818818819 0.794921936121536 0.842715701516102
"8" 0.841841841841842 0.819203122582445 0.864480561101239
"9" 0.822822822822823 0.79913376137681 0.846511884268835
"10" 0.855855855855856 0.834064230899278 0.877647480812434
"11" 0.880880880880881 0.86078346917921 0.900978292582552
