"WG1P2" "WG1P3" "WG2P1" "WG2P6" "WG3P2" "WG3P3" "WG4P1" "WG4P3" "WG5P1" "WG5P6" "WG6P1" "WG6P6"
"WG1P2" NA NA NA NA NA NA NA NA NA NA NA NA
"WG1P3" 0.205205205205205 NA NA NA NA NA NA NA NA NA NA NA
"WG2P1" 0.6996996996997 0.891891891891892 NA NA NA NA NA NA NA NA NA NA
"WG2P6" 0.92992992992993 0.903903903903904 -0.967967967967968 NA NA NA NA NA NA NA NA NA
"WG3P2" 0.997997997997998 0.993993993993994 0.243243243243243 -0.189189189189189 NA NA NA NA NA NA NA NA
"WG3P3" 0.987987987987988 0.985985985985986 0.505505505505506 0.407407407407407 -0.129129129129129 NA NA NA NA NA NA NA
"WG4P1" 0.971971971971972 1 0.345345345345345 0.56956956956957 0.847847847847848 0.963963963963964 NA NA NA NA NA NA
"WG4P3" 0.943943943943944 0.977977977977978 0.645645645645646 0.821821821821822 0.957957957957958 0.987987987987988 -0.603603603603604 NA NA NA NA NA
"WG5P1" 0.367367367367367 -0.447447447447447 -0.711711711711712 -0.567567567567568 0.311311311311311 0.76976976976977 0.767767767767768 0.793793793793794 NA NA NA NA
"WG5P6" 0.711711711711712 0.373373373373373 0.331331331331331 0.181181181181181 0.267267267267267 0.559559559559559 0.943943943943944 0.605605605605606 0.307307307307307 NA NA NA
"WG6P1" 0.0110110110110111 0.301301301301301 0.695695695695696 0.405405405405405 0.259259259259259 0.735735735735736 0.991991991991992 0.953953953953954 0.387387387387387 0.0510510510510511 NA NA
"WG6P6" 0.797797797797798 0.711711711711712 0.141141141141141 0.015015015015015 0.391391391391391 0.58958958958959 0.751751751751752 0.833833833833834 -0.137137137137137 0.215215215215215 0.429429429429429 NA
